text,emotion,intensity
I feel weighed down by heavy emotional burden.,sad,medium
This sadness seems to follow me everywhere I go.,sad,medium
I'm struggling with these overwhelming feelings.,sad,medium
This melancholy mood won't seem to lift today.,sad,medium
I'm feeling quite sad about this disappointing situation.,sad,medium
This really disappoints me and brings my spirits down.,sad,medium
I'm upset and hurt by what happened earlier.,sad,medium
Feeling blue and low in spirits today.,sad,medium
This makes me feel hollow and empty inside.,sad,medium
I'm down and just not feeling like myself.,sad,medium
This news really dampened my mood significantly.,sad,medium
Feeling a bit melancholy and reflective today.,sad,medium
I'm sad that things didn't work out as planned.,sad,medium
This situation weighs heavily on my heart.,sad,medium
I feel disappointed by these unexpected results.,sad,medium
This brings down my usually positive mood.,sad,medium
I'm feeling somewhat dejected about this outcome.,sad,medium
This makes me feel a bit lost and confused.,sad,medium
I'm experiencing some emotional heaviness today.,sad,medium
I'm absolutely furious and seething with uncontrollable rage!,angry,high
This makes me livid beyond any reasonable measure!,angry,medium
I'm so enraged I can barely contain my explosive fury!,angry,medium
This is absolutely infuriating and completely outrageous!,angry,high
I'm boiling with wrath and righteous indignation!,angry,medium
"This makes my blood boil with pure, intense anger!",angry,medium
I'm incensed and ready to explode with rage!,angry,medium
This is making me see red with blinding fury!,angry,medium
I'm burning with uncontrollable and violent anger!,angry,medium
"This injustice fills me with blazing, consuming rage!",angry,medium
I'm fuming with anger and can't think straight!,angry,medium
This is driving me to the brink of explosive fury!,angry,medium
I'm absolutely beside myself with rage and anger!,angry,high
This makes me want to scream with frustration!,angry,medium
I'm consumed by anger and burning with rage!,angry,medium
I'm really mad and extremely frustrated about this!,angry,high
This situation is incredibly irritating and annoying!,angry,medium
I'm quite angry and completely fed up with this nonsense!,angry,high
This makes me hot under the collar and steaming!,angry,medium
I'm steaming mad about this unfair treatment!,angry,medium
This is aggravating me beyond belief and reason!,angry,medium
I'm bristling with anger and deep resentment!,angry,medium
This situation is making me hopping mad!,angry,medium
I'm absolutely incensed by this behavior!,angry,high
This is driving me up the wall with anger!,angry,medium
I'm seeing red and feeling very hostile!,angry,medium
This injustice makes me fighting mad!,angry,medium
I'm fired up and ready to confront this!,angry,medium
This fills me with burning resentment!,angry,medium
I'm outraged by this unfair situation!,angry,medium
I'm annoyed and bothered by this frustrating situation.,angry,medium
This is quite irritating and gets on my nerves.,angry,medium
I'm upset and displeased with this poor outcome.,angry,medium
This makes me cross and rather grumpy.,angry,medium
I'm ticked off by this inadequate service.,angry,medium
This situation is really getting on my nerves.,angry,medium
I'm miffed about how this was handled poorly.,angry,medium
This is causing me considerable irritation.,angry,medium
I'm not happy about this disappointing development.,angry,medium
This is rubbing me the wrong way completely.,angry,high
I feel frustrated by these ongoing problems.,angry,medium
This is really starting to bug me now.,angry,medium
I'm getting impatient with this slow progress.,angry,medium
This situation is testing my patience significantly.,angry,medium
I'm feeling increasingly agitated about this.,angry,medium
I'm absolutely terrified and paralyzed with overwhelming fear!,fear,high
This horror is making me panic uncontrollably and shake!,fear,medium
"I'm petrified and trembling with pure, intense terror!",fear,medium
This nightmare scenario fills me with paralyzing dread!,fear,medium
I'm frozen with fear and completely unable to move!,fear,high
This is my worst fear coming to life before my eyes!,fear,medium
I'm trembling with overwhelming terror and anxiety!,fear,medium
This spine-chilling situation horrifies me completely!,fear,high
I'm consumed by panic and crippling anxiety!,fear,medium
This terrifying prospect haunts my every dream!,fear,medium
I'm shaking with fear and can't stop trembling!,fear,medium
This fills me with bone-chilling terror and dread!,fear,medium
I'm scared out of my wits and can't think!,fear,medium
"This nightmare is my deepest, darkest fear!",fear,medium
I'm gripped by terror and can't escape this fear!,fear,medium
I'm really scared and frightened by this threatening situation!,fear,medium
This makes me very anxious and deeply worried!,fear,medium
I'm quite afraid of what might happen next!,fear,medium
This is giving me serious anxiety and stress!,fear,medium
I'm nervous and apprehensive about this outcome!,fear,medium
This uncertainty is making me genuinely fearful!,fear,medium
I'm alarmed by these concerning developments!,fear,medium
This situation has me completely on edge!,fear,high
I'm spooked by these strange and eerie occurrences!,fear,medium
This is causing me considerable worry and concern!,fear,medium
I feel threatened and unsafe in this situation!,fear,medium
This gives me chills and makes me uneasy!,fear,medium
I'm frightened by the potential consequences!,fear,medium
This situation fills me with growing dread!,fear,medium
I'm scared about what the future holds!,fear,medium
I'm somewhat anxious about this uncertain situation.,fear,medium
This makes me a bit nervous and uneasy.,fear,medium
I'm concerned about the potential risks involved.,fear,medium
This uncertainty is causing me some worry.,fear,medium
I'm apprehensive about what lies ahead.,fear,medium
This situation has me feeling tense and stressed.,fear,medium
I'm cautious and wary of proceeding further.,fear,medium
This gives me pause and makes me hesitant.,fear,medium
I'm unsure and doubtful about this decision.,fear,medium
This unpredictability makes me uncomfortable.,fear,medium
I feel a bit worried about the outcome.,fear,medium
This situation makes me feel vulnerable.,fear,medium
I'm experiencing some anxiety about this.,fear,medium
This uncertainty is troubling me somewhat.,fear,medium
I feel slightly intimidated by this challenge.,fear,medium
I absolutely adore you with every fiber of my being!,love,high
"My love for you is infinite, eternal, and unconditional!",love,medium
You are my everything and I worship you completely!,love,high
I'm head over heels in love with you forever!,love,medium
You are the love of my life and my perfect soulmate!,love,medium
I'm completely devoted and dedicated to you always!,love,high
My heart belongs entirely to you for all eternity!,love,medium
I cherish and treasure every moment with you!,love,medium
You are my one true love and perfect match!,love,medium
I'm madly and passionately in love with you!,love,medium
You complete me and make my life meaningful!,love,medium
I love you more than words can ever express!,love,medium
"You are my heart, my soul, my everything!",love,medium
"I'm deeply, madly, truly in love with you!",love,medium
You are my reason for living and breathing!,love,medium
I love you so much it takes my breath away!,love,medium
You mean the world to me and so much more!,love,medium
I'm deeply in love and can't imagine life without you!,love,medium
You make my heart skip a beat every time!,love,medium
I'm so romantic and affectionate towards you!,love,medium
You are my heart's desire and greatest joy!,love,medium
I'm filled with overwhelming love for you!,love,medium
You are my sunshine and brightest star!,love,medium
I'm completely smitten and enchanted by you!,love,high
You are my beloved and most precious person!,love,medium
I adore everything about you completely!,love,high
You bring such love and happiness to my life!,love,medium
I'm crazy about you and your beautiful soul!,love,medium
You make me feel loved and cherished always!,love,medium
I treasure our love and romantic connection!,love,medium
I really care about you and enjoy your company.,love,medium
You are special and very important to me.,love,medium
I have strong feelings and affection for you.,love,medium
You bring happiness and joy into my life.,love,medium
I appreciate and value our relationship deeply.,love,medium
You are dear to my heart and soul.,love,medium
I'm fond of you and love spending time together.,love,medium
You make me feel loved and appreciated.,love,medium
I'm grateful for your love and support.,love,medium
You are wonderful and amazing in every way.,love,medium
I have deep feelings of affection for you.,love,medium
You hold a special place in my heart.,love,medium
I care deeply about your happiness and well-being.,love,medium
You bring warmth and love to my days.,love,medium
I feel blessed to have you in my life.,love,medium
I'm absolutely thrilled and can barely contain my excitement!,excitement,high
This is so exciting I'm practically bouncing off the walls!,excitement,medium
I'm pumped up and ready for this amazing adventure!,excitement,medium
I can't wait - I'm bursting with anticipation!,excitement,medium
This is going to be the most exciting experience ever!,excitement,medium
I'm electrified and energized by this opportunity!,excitement,medium
My adrenaline is pumping with pure excitement!,excitement,medium
I'm so hyped and enthusiastic about this!,excitement,medium
This excitement is giving me goosebumps!,excitement,medium
I'm on fire with enthusiasm and energy!,excitement,medium
I'm buzzing with excitement and can't sit still!,excitement,medium
This is the most exhilarating thing ever!,excitement,medium
I'm charged up and ready to take on the world!,excitement,medium
This fills me with incredible anticipation!,excitement,medium
I'm vibrating with excitement and pure energy!,excitement,medium
I'm really excited and enthusiastic about this!,excitement,medium
This opportunity fills me with great anticipation!,excitement,medium
I'm eager and ready to dive into this adventure!,excitement,medium
This makes me feel energized and motivated!,excitement,medium
I'm thrilled about the possibilities ahead!,excitement,medium
This sparks my curiosity and excitement!,excitement,medium
I'm animated and passionate about this project!,excitement,medium
This gives me such a rush of adrenaline!,excitement,medium
I'm keyed up and ready for action!,excitement,medium
This fills me with spirited enthusiasm!,excitement,medium
I'm revved up and prepared for anything!,excitement,medium
This energizes me and gets my blood flowing!,excitement,medium
I'm passionate and driven about this goal!,excitement,medium
This makes me feel alive and invigorated!,excitement,medium
I'm excited about the journey ahead!,excitement,medium
I'm interested and looking forward to this.,excitement,medium
This seems like it could be really exciting.,excitement,medium
I'm keen to see how this develops.,excitement,medium
This catches my attention and sparks interest.,excitement,medium
I'm anticipating good things from this.,excitement,medium
This has potential and gets me curious.,excitement,medium
I'm ready to explore this opportunity.,excitement,medium
This seems promising and worthwhile.,excitement,medium
I'm intrigued by the possibilities here.,excitement,medium
This awakens my sense of adventure.,excitement,medium
I'm optimistic about this new venture.,excitement,medium
This stirs up my enthusiasm a bit.,excitement,medium
I'm hopeful and excited about the outcome.,excitement,medium
This gives me something to look forward to.,excitement,medium
I'm energized by this new challenge.,excitement,medium
"Wow, I can't believe this just happened!",surprise,medium
This is so unexpected and amazing!,surprise,medium
I'm completely shocked by this news!,surprise,high
What a pleasant and wonderful surprise!,surprise,medium
I never saw this coming at all!,surprise,medium
This caught me completely off guard!,surprise,high
How surprising and delightful this is!,surprise,medium
I'm astonished by this development!,surprise,medium
This is beyond my wildest expectations!,surprise,medium
What an incredible plot twist!,surprise,medium
I'm stunned and amazed by this!,surprise,medium
This is such an unexpected blessing!,surprise,medium
I'm bewildered but pleasantly surprised!,surprise,medium
This takes my breath away with surprise!,surprise,medium
I'm flabbergasted by this turn of events!,surprise,medium
This is absolutely revolting and disgusting!,disgust,high
I'm completely repulsed by this behavior!,disgust,high
This makes me feel sick to my stomach!,disgust,medium
How disgusting and appalling this is!,disgust,medium
I'm nauseated by this awful situation!,disgust,medium
This is vile and completely repugnant!,disgust,high
I can't stand this revolting mess!,disgust,medium
This is gross and makes me want to vomit!,disgust,medium
I'm appalled by this disgusting display!,disgust,medium
This fills me with complete revulsion!,disgust,medium
How absolutely horrible and nasty this is!,disgust,high
I'm sickened by this deplorable behavior!,disgust,medium
This is repulsive beyond description!,disgust,medium
I find this utterly disgusting and vile!,disgust,medium
This makes my skin crawl with disgust!,disgust,medium
I have nothing but contempt for this behavior.,contempt,medium
This is beneath my dignity and attention.,contempt,medium
I look down on this pathetic display.,contempt,medium
How utterly inferior and worthless this is.,contempt,medium
I disdain this shallow and meaningless act.,contempt,medium
This doesn't deserve my time or consideration.,contempt,medium
I scorn this petty and insignificant gesture.,contempt,medium
This is so far below my standards.,contempt,medium
I have zero respect for this nonsense.,contempt,medium
This is contemptible and not worth acknowledging.,contempt,medium
I dismiss this as completely irrelevant.,contempt,high
This is so beneath me it's almost amusing.,contempt,medium
I regard this with complete disdain.,contempt,medium
This is unworthy of any serious attention.,contempt,medium
I hold this in the lowest possible regard.,contempt,medium
I'm so proud of this incredible achievement!,pride,medium
This accomplishment fills me with deep pride!,pride,medium
I feel triumphant and victorious about this!,pride,medium
This success makes me beam with pride!,pride,medium
I'm proud to have reached this milestone!,pride,medium
This achievement brings me great satisfaction!,pride,medium
I feel accomplished and successful today!,pride,medium
This victory fills my heart with pride!,pride,medium
I'm proud of the hard work that paid off!,pride,medium
This success validates all my efforts!,pride,medium
I feel dignified and honored by this recognition!,pride,medium
This accomplishment makes me stand tall!,pride,medium
I'm proud to be associated with this success!,pride,medium
This achievement makes me feel worthwhile!,pride,medium
I'm glowing with pride and satisfaction!,pride,medium
I'm so embarrassed and ashamed of my actions.,shame,medium
This makes me feel terrible about myself.,shame,medium
I'm mortified by what I've done wrong.,shame,medium
I feel guilty and regretful about this mistake.,shame,medium
This fills me with deep shame and remorse.,shame,medium
I'm humiliated by my poor judgment.,shame,medium
I feel awful about letting everyone down.,shame,medium
This mistake makes me want to hide away.,shame,medium
I'm ashamed of my behavior and choices.,shame,medium
I feel so bad about disappointing others.,shame,medium
This error in judgment haunts me deeply.,shame,medium
I'm embarrassed by my lack of consideration.,shame,medium
I feel remorseful about the harm I've caused.,shame,medium
This mistake weighs heavily on my conscience.,shame,medium
I'm ashamed and wish I could take it back.,shame,medium
This is a regular and ordinary day.,neutral,medium
Everything seems normal and typical today.,neutral,medium
I'm feeling okay and stable right now.,neutral,medium
"This is just a standard, routine situation.",neutral,medium
Nothing particularly special is happening.,neutral,medium
I'm in a calm and balanced state of mind.,neutral,medium
This is an average and unremarkable event.,neutral,medium
I feel neither positive nor negative about this.,neutral,medium
This is just part of my daily routine.,neutral,medium
"I'm experiencing a steady, even mood.",neutral,medium
This falls within normal expectations.,neutral,medium
I'm feeling composed and level-headed.,neutral,medium
This is a typical and predictable outcome.,neutral,medium
I'm in a neutral and balanced emotional state.,neutral,medium
This is just an ordinary part of life.,neutral,medium
